"id","nombre","barrio","latitud","longitud","tipo_propiedad","capacidad","banos","bano_compartido","dormitorios","camas","precio","noches_minimas","noches_maximas","disponible","disponibilidad_30","disponibilidad_60","disponibilidad_90","disponibilidad_365","n_reviews","n_reviews_u30d","puntuacion_reviews_general","puntuacion_reviews_precision","puntuacion_reviews_limpieza","puntuacion_reviews_checkin","puntuacion_reviews_comunicacion","puntuacion_reviews_localizacion","puntuacion_reviews_valor"
4134025,"Rental unit in Barcelona · ★4.53 · 1 bedroom · 3 beds · 1 bath","Ciutat Vella",41,2,"Entire home/apt",4,1,FALSE,1,3,68,31,364,TRUE,0,26,56,331,70,0,4,4,4,4,4,4,4
4139672,"Rental unit in Barcelona · ★4.77 · 3 bedrooms · 4 beds · 1 bath","Ciutat Vella",41,2,"Entire home/apt",4,1,FALSE,3,4,158,3,1125,TRUE,3,6,12,175,185,3,4,4,4,4,4,4,4
4392320,"Rental unit in Barcelona · ★4.28 · 2 bedrooms · 2 beds · 1.5 baths","Sarrià-Sant Gervasi",41,2,"Entire home/apt",3,1,FALSE,2,2,113,1,1125,TRUE,0,3,13,214,122,1,4,4,4,4,4,4,4
4141367,"Rental unit in Barcelona · ★4.91 · 2 bedrooms · 3 beds · 2 baths","Eixample",41,2,"Entire home/apt",4,2,FALSE,2,3,120,32,1125,TRUE,0,0,0,0,74,0,4,4,4,4,4,4,4
4399271,"Rental unit in Barcelona · ★4.61 · 2 bedrooms · 4 beds · 2 baths","Gràcia",41,2,"Entire home/apt",6,2,FALSE,2,4,159,1,1125,TRUE,5,25,55,264,136,7,4,4,4,4,4,4,4
4400390,"Rental unit in Barcelona · ★4.59 · 1 bedroom · 1 bed · 1.5 baths","Sants-Montjuïc",41,2,"Entire home/apt",2,1,FALSE,1,1,59,2,90,TRUE,3,4,8,63,408,1,4,4,4,4,4,4,4
4779922,"Rental unit in Barcelona · ★4.30 · 4 bedrooms · 5 beds · 2 baths","Sant Martí",41,2,"Entire home/apt",8,2,FALSE,4,5,10,1,1125,TRUE,0,0,0,0,21,0,4,4,4,4,4,4,3
4400736,"Rental unit in Barcelona · ★4.68 · 2 bedrooms · 4 beds · 1 bath","Gràcia",41,2,"Entire home/apt",6,1,FALSE,2,4,154,1,1125,TRUE,3,14,44,253,119,3,4,4,4,4,4,4,4
4147676,"Rental unit in Barcelona · ★4.73 · 3 bedrooms · 3 beds · 1 bath","Sants-Montjuïc",41,2,"Entire home/apt",4,1,FALSE,3,3,136,4,30,TRUE,0,1,18,104,260,4,4,4,4,4,4,4,4
4409059,"Serviced apartment in Barcelona · ★4.78 · 3 bedrooms · 4 beds · 2 baths","Eixample",41,2,"Hotel room",5,2,FALSE,3,4,344,1,1125,TRUE,6,12,38,210,27,0,4,4,4,4,4,4,4
4156094,"Rental unit in Barcelona · ★3.67 · 2 bedrooms · 5 beds · 1 bath","Sants-Montjuïc",41,2,"Entire home/apt",6,1,FALSE,2,5,180,1,1125,TRUE,30,60,90,365,6,0,3,3,3,4,4,4,3
4780449,"Rental unit in Barcelona · 1 bedroom · 1 bed · 1.5 baths","Ciutat Vella",41,2,"Private room",2,1,FALSE,2,1,50,1,18,TRUE,0,0,0,0,0,0,4,4,4,4,4,4,4
4415541,"Rental unit in Barcelona · ★4.80 · 1 bedroom · 1 bed · 2 baths","Sant Martí",41,2,"Entire home/apt",2,2,FALSE,1,1,184,3,320,TRUE,8,17,43,318,36,1,4,4,4,4,4,4,4
4782244,"Rental unit in Barcelona · ★4.80 · 1 bedroom · 1.5 shared baths","Gràcia",41,2,"Private room",2,1,TRUE,2,2,22,28,60,TRUE,0,0,0,189,21,0,4,4,4,4,5,4,4
4415694,"Rental unit in Barcelona · ★4.39 · 2 bedrooms · 2 beds · 1.5 baths","Sants-Montjuïc",41,2,"Entire home/apt",5,1,FALSE,2,2,130,3,1125,TRUE,2,2,20,68,119,2,4,4,4,4,4,4,4
4792666,"Rental unit in Barcelona · 1 bedroom · 1 bed · 1.5 baths","Eixample",41,2,"Private room",2,1,FALSE,2,1,25,4,31,TRUE,0,0,0,0,0,0,4,4,4,4,4,4,4
5008858,"Rental unit in Barcelona · ★4.64 · 2 bedrooms · 2 beds · 1.5 baths","Sants-Montjuïc",41,2,"Entire home/apt",3,1,FALSE,2,2,130,1,1125,TRUE,7,18,39,314,359,2,4,4,4,4,4,4,4
5015728,"Serviced apartment in Barcelona · ★4.80 · 1 bedroom · 1 bed · 1 private bath","Gràcia",41,2,"Hotel room",4,1,FALSE,1,1,182,2,230,TRUE,5,12,22,108,177,3,4,4,4,4,4,4,4
4415780,"Rental unit in Barcelona · ★4.40 · 1 bedroom · 1 bed · 1 shared bath","Gràcia",41,2,"Private room",2,1,TRUE,2,1,35,1,3,TRUE,0,0,0,0,5,0,4,4,4,4,5,4,4
4806720,"Rental unit in Barcelona · ★4.60 · 2 bedrooms · 3 beds · 1 bath","Sants-Montjuïc",41,2,"Entire home/apt",5,1,FALSE,2,3,188,2,60,TRUE,12,24,35,62,15,1,4,4,4,4,4,4,4
4823012,"Rental unit in Barcelona · 1 bedroom · 1 bed · 2 baths","Eixample",41,2,"Private room",1,2,FALSE,2,1,50,7,100,TRUE,0,0,0,0,0,0,4,4,4,4,4,4,4
4416006,"Serviced apartment in Barcelona · ★4.90 · 3 bedrooms · 4 beds · 2 baths","Eixample",41,2,"Entire home/apt",5,2,FALSE,3,4,311,1,1125,TRUE,2,7,27,191,40,0,4,4,4,4,4,4,4
4831788,"Rental unit in Barcelona · ★4.60 · 2 bedrooms · 3 beds · 1 bath","Eixample",41,2,"Entire home/apt",6,1,FALSE,2,3,160,3,30,TRUE,1,3,30,76,113,2,4,4,4,4,4,4,4
5024857,"Rental unit in Barcelona · ★3.64 · 2 bedrooms · 4 beds · 1 bath","Ciutat Vella",41,2,"Entire home/apt",4,1,FALSE,2,4,43,32,1125,TRUE,3,4,4,45,11,1,3,3,3,3,3,4,3
4419860,"Rental unit in Barcelona · ★4.73 · 2 bedrooms · 3 beds · 2 baths","Eixample",41,2,"Entire home/apt",4,2,FALSE,2,3,304,1,90,TRUE,11,20,50,323,236,1,4,4,4,4,4,4,4
5037632,"Rental unit in Barcelona · ★4.87 · 2 bedrooms · 3 beds · 1 bath","Gràcia",41,2,"Entire home/apt",4,1,FALSE,2,3,171,3,1125,TRUE,3,8,38,303,197,2,4,4,4,4,4,4,4
5046383,"Rental unit in Barcelona · 1 bedroom · 1 bed · Half-bath","Sants-Montjuïc",41,2,"Private room",2,0,FALSE,2,1,70,1,1125,TRUE,0,0,0,0,2,0,4,4,4,4,4,4,3
4422386,"Rental unit in Barcelona · ★4.81 · 2 bedrooms · 3 beds · 1 bath","Sant Martí",41,2,"Entire home/apt",4,1,FALSE,2,3,189,1,365,TRUE,2,6,36,294,393,5,4,4,4,4,4,4,4
4834811,"Rental unit in Barcelona · ★4.61 · 3 bedrooms · 3 beds · 2 baths","Eixample",41,2,"Entire home/apt",5,2,FALSE,3,3,210,3,1124,TRUE,2,9,23,77,269,0,4,4,4,4,4,4,4
4842600,"Rental unit in Barcelona · ★4.79 · 4 bedrooms · 6 beds · 2 baths","Sants-Montjuïc",41,2,"Entire home/apt",8,2,FALSE,4,6,160,32,1125,TRUE,0,0,0,235,96,0,4,4,4,4,4,4,4
4456081,"Rental unit in Barcelona · 1 bedroom · 1 bed · 1 bath","Ciutat Vella",41,2,"Entire home/apt",2,1,FALSE,1,1,150,30,60,TRUE,25,25,29,304,1,0,4,4,4,4,4,4,4
4843329,"Rental unit in Barcelona · ★4.93 · 3 bedrooms · 4 beds · 2 baths","Gràcia",41,2,"Entire home/apt",7,2,FALSE,3,4,150,4,1125,TRUE,4,4,22,214,246,2,4,4,4,4,4,4,4
5046602,"Rental unit in Barcelona · 1 bedroom · 1 bed · Half-bath","Sants-Montjuïc",41,2,"Private room",1,0,FALSE,2,1,65,1,1125,TRUE,0,0,0,0,1,0,4,3,4,4,4,4,4
4463682,"Loft in Barcelona · ★4.95 · 1 bedroom · 2 beds · 1 shared bath","Gràcia",41,2,"Private room",2,1,TRUE,1,2,48,31,1125,TRUE,0,0,0,270,131,0,4,4,4,4,4,4,4
5049684,"Loft in Barcelona · ★4.77 · 3 bedrooms · 5 beds · 2 baths","Gràcia",41,2,"Entire home/apt",6,2,FALSE,3,5,149,3,31,TRUE,0,1,25,42,414,1,4,4,4,4,4,4,4
4864848,"Rental unit in Barcelona · ★4.80 · 1 bedroom · 2 beds · 1 bath","Les Corts",41,2,"Entire home/apt",4,1,FALSE,1,2,166,1,1125,TRUE,17,17,17,270,15,0,4,4,4,4,4,4,4
4481286,"Rental unit in Barcelona · ★4.82 · 1 bedroom · 1 bed · 1.5 shared baths","Sants-Montjuïc",41,2,"Private room",2,1,TRUE,2,1,45,31,1125,TRUE,30,60,90,365,188,0,4,4,4,4,4,4,4
